date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
4/18/2017,03-06-24-15-18-38,3,6,24,15,18,38,3,6,15,18,24,38
4/21/2017,24-23-34-02-29-32,24,23,34,2,29,32,2,23,24,29,32,34
4/23/2017,47-09-06-48-56-17,47,9,6,48,56,17,6,9,17,47,48,56
4/25/2017,03-27-23-29-47-57,3,27,23,29,47,57,3,23,27,29,47,57
4/28/2017,14-44-46-56-31-16,14,44,46,56,31,16,14,16,31,44,46,56
4/30/2017,33-38-29-57-31-53,33,38,29,57,31,53,29,31,33,38,53,57
5/2/2017,22-34-25-23-18-33,22,34,25,23,18,33,18,22,23,25,33,34
5/5/2017,26-33-58-56-39-37,26,33,58,56,39,37,26,33,37,39,56,58
5/7/2017,31-52-44-57-21-45,31,52,44,57,21,45,21,31,44,45,52,57
5/9/2017,18-15-58-30-07-05,18,15,58,30,7,5,5,7,15,18,30,58
5/12/2017,02-16-11-49-18-03,2,16,11,49,18,3,2,3,11,16,18,49
5/14/2017,56-13-58-17-20-08,56,13,58,17,20,8,8,13,17,20,56,58
5/16/2017,08-26-48-41-47-39,8,26,48,41,47,39,8,26,39,41,47,48
5/19/2017,30-11-50-54-28-15,30,11,50,54,28,15,11,15,28,30,50,54
5/21/2017,05-08-45-09-46-36,5,8,45,9,46,36,5,8,9,36,45,46
5/23/2017,22-33-21-57-14-41,22,33,21,57,14,41,14,21,22,33,41,57
5/26/2017,58-47-43-22-44-12,58,47,43,22,44,12,12,22,43,44,47,58
5/28/2017,36-17-39-35-40-11,36,17,39,35,40,11,11,17,35,36,39,40
5/30/2017,03-21-54-15-20-12,3,21,54,15,20,12,3,12,15,20,21,54
6/2/2017,47-32-53-02-45-11,47,32,53,2,45,11,2,11,32,45,47,53
6/4/2017,29-28-10-36-33-03,29,28,10,36,33,3,3,10,28,29,33,36
6/6/2017,09-04-08-23-29-16,9,4,8,23,29,16,4,8,9,16,23,29
6/9/2017,16-06-23-36-20-56,16,6,23,36,20,56,6,16,20,23,36,56
6/11/2017,23-03-14-56-58-04,23,3,14,56,58,4,3,4,14,23,56,58
6/13/2017,08-52-20-19-48-36,8,52,20,19,48,36,8,19,20,36,48,52
6/16/2017,31-50-06-12-16-40,31,50,6,12,16,40,6,12,16,31,40,50
6/18/2017,39-34-28-45-20-50,39,34,28,45,20,50,20,28,34,39,45,50
6/20/2017,22-24-23-54-46-43,22,24,23,54,46,43,22,23,24,43,46,54
6/23/2017,36-32-25-51-43-31,36,32,25,51,43,31,25,31,32,36,43,51
6/25/2017,51-28-36-01-40-56,51,28,36,1,40,56,1,28,36,40,51,56
6/27/2017,46-57-38-34-43-10,46,57,38,34,43,10,10,34,38,43,46,57
6/30/2017,03-42-38-33-30-47,3,42,38,33,30,47,3,30,33,38,42,47
7/2/2017,58-29-26-14-52-51,58,29,26,14,52,51,14,26,29,51,52,58
7/4/2017,51-53-16-32-41-40,51,53,16,32,41,40,16,32,40,41,51,53
7/7/2017,15-38-22-52-56-02,15,38,22,52,56,2,2,15,22,38,52,56
7/9/2017,45-21-16-20-38-29,45,21,16,20,38,29,16,20,21,29,38,45
7/11/2017,52-29-28-05-33-41,52,29,28,5,33,41,5,28,29,33,41,52
7/14/2017,14-36-08-34-50-53,14,36,8,34,50,53,8,14,34,36,50,53
7/16/2017,54-51-43-38-09-56,54,51,43,38,9,56,9,38,43,51,54,56
7/18/2017,45-46-25-39-01-42,45,46,25,39,1,42,1,25,39,42,45,46
7/21/2017,07-14-36-08-42-27,7,14,36,8,42,27,7,8,14,27,36,42
7/23/2017,52-08-27-14-19-53,52,8,27,14,19,53,8,14,19,27,52,53
7/25/2017,04-56-35-38-57-49,4,56,35,38,57,49,4,35,38,49,56,57
7/28/2017,44-29-15-50-39-54,44,29,15,50,39,54,15,29,39,44,50,54
7/30/2017,20-55-47-52-12-57,20,55,47,52,12,57,12,20,47,52,55,57
8/1/2017,53-14-23-02-58-20,53,14,23,2,58,20,2,14,20,23,53,58
8/4/2017,36-50-26-58-25-16,36,50,26,58,25,16,16,25,26,36,50,58
8/6/2017,54-08-45-07-23-19,54,8,45,7,23,19,7,8,19,23,45,54
8/8/2017,07-19-14-24-08-18,7,19,14,24,8,18,7,8,14,18,19,24
8/11/2017,16-31-44-02-51-13,16,31,44,2,51,13,2,13,16,31,44,51
8/13/2017,03-47-30-35-16-08,3,47,30,35,16,8,3,8,16,30,35,47
8/15/2017,07-54-14-10-04-49,7,54,14,10,4,49,4,7,10,14,49,54
8/18/2017,48-44-50-56-08-07,48,44,50,56,8,7,7,8,44,48,50,56
8/20/2017,21-05-55-51-30-34,21,5,55,51,30,34,5,21,30,34,51,55
8/22/2017,50-16-22-14-09-47,50,16,22,14,9,47,9,14,16,22,47,50
8/25/2017,35-06-01-41-40-42,35,6,1,41,40,42,1,6,35,40,41,42
8/27/2017,40-08-49-11-02-29,40,8,49,11,2,29,2,8,11,29,40,49
8/29/2017,19-06-26-43-33-40,19,6,26,43,33,40,6,19,26,33,40,43
9/1/2017,32-06-35-50-30-14,32,6,35,50,30,14,6,14,30,32,35,50
9/3/2017,30-16-04-17-41-01,30,16,4,17,41,1,1,4,16,17,30,41
9/5/2017,03-27-17-12-20-06,3,27,17,12,20,6,3,6,12,17,20,27
9/8/2017,31-03-52-34-22-15,31,3,52,34,22,15,3,15,22,31,34,52
9/10/2017,34-37-39-26-23-10,34,37,39,26,23,10,10,23,26,34,37,39
9/12/2017,52-17-58-09-19-10,52,17,58,9,19,10,9,10,17,19,52,58
9/15/2017,02-27-24-04-50-46,2,27,24,4,50,46,2,4,24,27,46,50
9/17/2017,10-17-03-35-50-44,10,17,3,35,50,44,3,10,17,35,44,50
9/19/2017,57-06-47-36-52-56,57,6,47,36,52,56,6,36,47,52,56,57
9/22/2017,23-33-02-47-40-06,23,33,2,47,40,6,2,6,23,33,40,47
9/24/2017,17-54-29-13-08-10,17,54,29,13,8,10,8,10,13,17,29,54
9/26/2017,01-15-26-55-21-11,1,15,26,55,21,11,1,11,15,21,26,55
9/29/2017,54-13-06-23-01-15,54,13,6,23,1,15,1,6,13,15,23,54
10/1/2017,40-57-02-41-47-27,40,57,2,41,47,27,2,27,40,41,47,57
10/3/2017,36-37-17-54-22-25,36,37,17,54,22,25,17,22,25,36,37,54
10/6/2017,42-32-27-10-15-03,42,32,27,10,15,3,3,10,15,27,32,42
10/8/2017,07-37-24-08-32-22,7,37,24,8,32,22,7,8,22,24,32,37
10/10/2017,56-11-14-46-58-47,56,11,14,46,58,47,11,14,46,47,56,58
10/13/2017,54-37-53-29-41-50,54,37,53,29,41,50,29,37,41,50,53,54
10/15/2017,14-02-04-57-05-17,14,2,4,57,5,17,2,4,5,14,17,57
10/17/2017,07-41-34-12-10-36,7,41,34,12,10,36,7,10,12,34,36,41
10/20/2017,26-43-24-35-14-57,26,43,24,35,14,57,14,24,26,35,43,57
