LOTTO GAME,COMBINATIONS,SEQUENCE,JACKPOT,WINNERS,SLOT 1,SLOT 2,SLOT 3,SLOT 4,SLOT 5,SLOT 6,DATE FORMATTED
Ultra Lotto 6/58,11-50-56-53-12-09,130,109460484,0,9,11,12,50,53,56,2016-05-27
Ultra Lotto 6/58,06-44-36-54-32-29,131,113172840,0,6,29,32,36,44,54,2016-05-29
Ultra Lotto 6/58,13-02-25-06-03-49,132,117896552,0,2,3,6,13,25,49,2016-03-06
Ultra Lotto 6/58,22-05-07-25-53-32,133,121868792,0,5,7,22,25,32,53,2016-05-06
Ultra Lotto 6/58,39-19-54-06-22-12,134,126590668,0,6,12,19,22,39,54,2016-10-06
Ultra Lotto 6/58,50-03-49-13-58-34,135,130544376,0,3,13,34,49,50,58,2016-12-06
Ultra Lotto 6/58,16-58-33-35-02-50,136,135285580,0,2,16,33,35,50,58,2016-06-17
Ultra Lotto 6/58,45-46-07-03-49-58,137,139216872,0,3,7,45,46,49,58,2016-06-19
Ultra Lotto 6/58,51-49-25-40-31-45,138,143947844,0,25,31,40,45,49,51,2016-06-24
Ultra Lotto 6/58,11-53-02-29-01-09,139,148235564,0,1,2,9,11,29,53,2016-06-26
Ultra Lotto 6/58,36-47-04-03-20-28,140,153031572,0,3,4,20,28,36,47,2016-01-07
Ultra Lotto 6/58,54-23-32-04-14-38,141,157515824,0,4,14,23,32,38,54,2016-03-07
